scenario_name,average_wait_time,max_wait_time,p90_wait_time,max_queue_length,groups_served,groups_abandoned,service_level_within_15_min,service_level_within_30_min,table_utilization_overall,reservation_fulfillment_rate,average_reservation_delay,average_table_fit_efficiency,notes
pair_07_fcfs_vs_best_fit_A,4.5333,59,5.2,2,15,0,0.9333,0.9333,0.177,1.0,12.75,0.8889,Simulation-generated metrics using size_based queues and earliest_suitable seating.
pair_07_fcfs_vs_best_fit_B,3.2667,26,13.4,2,15,0,0.8667,1.0,0.177,1.0,5.5,0.9083,Simulation-generated metrics using size_based queues and best_fit seating.
