scenario_name,average_wait_time,max_wait_time,p90_wait_time,max_queue_length,groups_served,groups_abandoned,service_level_within_15_min,service_level_within_30_min,table_utilization_overall,reservation_fulfillment_rate,average_reservation_delay,average_table_fit_efficiency,notes
pair_02_single_vs_multi_queue_A,7.5625,39,27.5,5,16,0,0.75,0.875,0.1196,1.0,10.5,0.8854,Simulation-generated metrics using single queues and earliest_suitable seating.
pair_02_single_vs_multi_queue_B,2.4375,39,0.0,2,16,0,0.9375,0.9375,0.1196,1.0,2.75,0.8854,Simulation-generated metrics using size_based queues and earliest_suitable seating.
