scenario_name,average_wait_time,max_wait_time,p90_wait_time,max_queue_length,groups_served,groups_abandoned,service_level_within_15_min,service_level_within_30_min,table_utilization_overall,reservation_fulfillment_rate,average_reservation_delay,average_table_fit_efficiency,notes
pair_01_table_mix_A,80.875,336,235.0,7,16,0,0.5625,0.5625,0.1529,1.0,150.6,0.9193,Simulation-generated metrics using size_based queues and best_fit seating.
pair_01_table_mix_B,18.0,112,55.5,5,16,0,0.6875,0.75,0.2071,1.0,29.6,0.9323,Simulation-generated metrics using size_based queues and best_fit seating.
